x1,x2,val
-18.000000,5.666667,1.117299
-18.000000,6.000000,1.116909
-18.000000,6.333333,1.120431
-18.000000,6.666667,1.121031
-18.000000,7.000000,1.119422
-18.000000,7.333333,1.119855
-18.000000,7.666667,1.120686
-18.000000,8.000000,1.121683
-18.000000,8.333333,1.122527
-18.000000,8.666667,1.123566
-18.000000,9.000000,1.124651
-18.000000,9.333333,1.125052
-18.000000,9.666667,1.124714
-17.000000,0.000000,1.083909
-17.000000,0.333333,1.080844
-17.000000,0.666667,1.084061
-17.000000,1.000000,1.086568
-17.000000,1.333333,1.085083
-17.000000,1.666667,1.088119
-17.000000,2.000000,1.091549
-17.000000,2.333333,1.090762
-17.000000,2.666667,1.093091
-17.000000,3.000000,1.095422
-17.000000,3.333333,1.093861
-17.000000,3.666667,1.096674
-17.000000,4.000000,1.097365
-17.000000,4.333333,1.096858
-17.000000,4.666667,1.099346
-17.000000,5.000000,1.097942
-17.000000,5.333333,1.099310
-17.000000,5.666667,1.100735
-17.000000,6.000000,1.099678
-17.000000,6.333333,1.100740
-17.000000,6.666667,1.100332
-17.000000,7.000000,1.103431
-17.000000,7.333333,1.101818
-17.000000,7.666667,1.099819
-17.000000,8.000000,1.100436
-17.000000,8.333333,1.099500
-17.000000,8.666667,1.102891
-17.000000,9.000000,1.100738
-17.000000,9.333333,1.098970
-17.000000,9.666667,1.102822
-16.000000,0.000000,1.070193
-16.000000,0.333333,1.068448
-16.000000,0.666667,1.069551
-16.000000,1.000000,1.068986
-16.000000,1.333333,1.071704
-16.000000,1.666667,1.072311
-16.000000,2.000000,1.076125
-16.000000,2.333333,1.079465
-16.000000,2.666667,1.075844
-16.000000,3.000000,1.077716
-16.000000,3.333333,1.078800
-16.000000,3.666667,1.080210
-16.000000,4.000000,1.079040
-16.000000,4.333333,1.079334
-16.000000,4.666667,1.078976
-16.000000,5.000000,1.080068
-16.000000,5.333333,1.080645
-16.000000,5.666667,1.079986
-16.000000,6.000000,1.081159
-16.000000,6.333333,1.081661
-16.000000,6.666667,1.082612
-16.000000,7.000000,1.083309
-16.000000,7.333333,1.078149
-16.000000,7.666667,1.080534
-16.000000,8.000000,1.078367
-16.000000,8.333333,1.079921
-16.000000,8.666667,1.080052
-16.000000,9.000000,1.078335
-16.000000,9.333333,1.081638
-16.000000,9.666667,1.076673
-15.000000,0.000000,1.055341
-15.000000,0.333333,1.052839
-15.000000,0.666667,1.055561
-15.000000,1.000000,1.056750
-15.000000,1.333333,1.057075
-15.000000,1.666667,1.058357
-15.000000,2.000000,1.058436
-15.000000,2.333333,1.060112
-15.000000,2.666667,1.057651
-15.000000,3.000000,1.060567
-15.000000,3.333333,1.060851
-15.000000,3.666667,1.062045
-15.000000,4.000000,1.058029
-15.000000,4.333333,1.060106
-15.000000,4.666667,1.060170
-15.000000,5.000000,1.062690
-15.000000,5.333333,1.060453
-15.000000,5.666667,1.057621
-15.000000,6.000000,1.061025
-15.000000,6.333333,1.060965
-15.000000,6.666667,1.060948
-15.000000,7.000000,1.058971
-15.000000,7.333333,1.060129
-15.000000,7.666667,1.057133
-15.000000,8.000000,1.055746
-15.000000,8.333333,1.052762
-15.000000,8.666667,1.050832
-15.000000,9.000000,1.048339
-15.000000,9.333333,1.047412
-15.000000,9.666667,1.044853
-14.000000,0.000000,1.039318
-14.000000,0.333333,1.036267
-14.000000,0.666667,1.037987
-14.000000,1.000000,1.041610
-14.000000,1.333333,1.040635
-14.000000,1.666667,1.039207
-14.000000,2.000000,1.040179
-14.000000,2.333333,1.040547
-14.000000,2.666667,1.039672
-14.000000,3.000000,1.041426
-14.000000,3.333333,1.040121
-14.000000,3.666667,1.039330
-14.000000,4.000000,1.039968
-14.000000,4.333333,1.040508
-14.000000,4.666667,1.039203
-14.000000,5.000000,1.038289
-14.000000,5.333333,1.037766
-14.000000,5.666667,1.036997
-14.000000,6.000000,1.034716
-14.000000,6.333333,1.037934
-14.000000,6.666667,1.032848
-14.000000,7.000000,1.033145
-14.000000,7.333333,1.028215
-14.000000,7.666667,1.025726
-14.000000,8.000000,1.023878
-14.000000,8.333333,1.019516
-14.000000,8.666667,1.017875
-14.000000,9.000000,1.014844
-14.000000,9.333333,1.010483
-14.000000,9.666667,1.010648
-13.000000,0.000000,1.021907
-13.000000,0.333333,1.018944
-13.000000,0.666667,1.020433
-13.000000,1.000000,1.020828
-13.000000,1.333333,1.020200
-13.000000,1.666667,1.020146
-13.000000,2.000000,1.022419
-13.000000,2.333333,1.019958
-13.000000,2.666667,1.020520
-13.000000,3.000000,1.020788
-13.000000,3.333333,1.018832
-13.000000,3.666667,1.016897
-13.000000,4.000000,1.017307
-13.000000,4.333333,1.017482
-13.000000,4.666667,1.018055
-13.000000,5.000000,1.014132
-13.000000,5.333333,1.012691
-13.000000,5.666667,1.010250
-13.000000,6.000000,1.009379
-13.000000,6.333333,1.004466
-13.000000,6.666667,1.001331
-13.000000,7.000000,0.998236
-13.000000,7.333333,0.991401
-13.000000,7.666667,0.988606
-13.000000,8.000000,0.988044
-13.000000,8.333333,0.983245
-13.000000,8.666667,0.979682
-13.000000,9.000000,0.973402
-13.000000,9.333333,0.970530
-13.000000,9.666667,0.966188
-12.000000,0.000000,1.003516
-12.000000,0.333333,1.000805
-12.000000,0.666667,1.001826
-12.000000,1.000000,1.000139
-12.000000,1.333333,1.001102
-12.000000,1.666667,0.999222
-12.000000,2.000000,1.000032
-12.000000,2.333333,1.001202
-12.000000,2.666667,0.997111
-12.000000,3.000000,0.993812
-12.000000,3.333333,0.995845
-12.000000,3.666667,0.991920
-12.000000,4.000000,0.992075
-12.000000,4.333333,0.987664
-12.000000,4.666667,0.987053
-12.000000,5.000000,0.982516
-12.000000,5.333333,0.979650
-12.000000,5.666667,0.976148
-12.000000,6.000000,0.971307
-12.000000,6.333333,0.964998
-12.000000,6.666667,0.964220
-12.000000,7.000000,0.960008
-12.000000,7.333333,0.953209
-12.000000,7.666667,0.947647
-12.000000,8.000000,0.942749
-12.000000,8.333333,0.937279
-12.000000,8.666667,0.927614
-12.000000,9.000000,0.915538
-12.000000,9.333333,0.905645
-12.000000,9.666667,0.889660
-11.000000,0.000000,0.980895
-11.000000,0.333333,0.978514
-11.000000,0.666667,0.978744
-11.000000,1.000000,0.976511
-11.000000,1.333333,0.975144
-11.000000,1.666667,0.974379
-11.000000,2.000000,0.972442
-11.000000,2.333333,0.971415
-11.000000,2.666667,0.967470
-11.000000,3.000000,0.967887
-11.000000,3.333333,0.965116
-11.000000,3.666667,0.960215
-11.000000,4.000000,0.958546
-11.000000,4.333333,0.954414
-11.000000,4.666667,0.950482
-11.000000,5.000000,0.946319
-11.000000,5.333333,0.941137
-11.000000,5.666667,0.934459
-11.000000,6.000000,0.930681
-11.000000,6.333333,0.923366
-11.000000,6.666667,0.918823
-11.000000,7.000000,0.908525
-11.000000,7.333333,0.900439
-11.000000,7.666667,0.891524
-11.000000,8.000000,0.881792
-11.000000,8.333333,0.867930
-11.000000,8.666667,0.848018
-11.000000,9.000000,0.816745
-11.000000,9.333333,0.761623
-11.000000,9.666667,0.654474
-10.000000,0.000000,0.955577
-10.000000,0.333333,0.951207
-10.000000,0.666667,0.951345
-10.000000,1.000000,0.947487
-10.000000,1.333333,0.948239
-10.000000,1.666667,0.944315
-10.000000,2.000000,0.942504
-10.000000,2.333333,0.939346
-10.000000,2.666667,0.937531
-10.000000,3.000000,0.933432
-10.000000,3.333333,0.930641
-10.000000,3.666667,0.923447
-10.000000,4.000000,0.919069
-10.000000,4.333333,0.915527
-10.000000,4.666667,0.908538
-10.000000,5.000000,0.904251
-10.000000,5.333333,0.894726
-10.000000,5.666667,0.891259
-10.000000,6.000000,0.881944
-10.000000,6.333333,0.869460
-10.000000,6.666667,0.861704
-10.000000,7.000000,0.845777
-10.000000,7.333333,0.830456
-10.000000,7.666667,0.809759
-10.000000,8.000000,0.784592
-10.000000,8.333333,0.734689
-10.000000,8.666667,0.663303
-10.000000,9.000000,0.499935
-10.000000,9.333333,0.226671
-10.000000,9.666667,1.416470
-9.000000,0.000000,0.927146
-9.000000,0.333333,0.923675
-9.000000,0.666667,0.919253
-9.000000,1.000000,0.916498
-9.000000,1.333333,0.915247
-9.000000,1.666667,0.910366
-9.000000,2.000000,0.908062
-9.000000,2.333333,0.902879
-9.000000,2.666667,0.898451
-9.000000,3.000000,0.894692
-9.000000,3.333333,0.889915
-9.000000,3.666667,0.881221
-9.000000,4.000000,0.875354
-9.000000,4.333333,0.868285
-9.000000,4.666667,0.860258
-9.000000,5.000000,0.853348
-9.000000,5.333333,0.836675
-9.000000,5.666667,0.828134
-9.000000,6.000000,0.811586
-9.000000,6.333333,0.794076
-9.000000,6.666667,0.773360
-9.000000,7.000000,0.743492
-9.000000,7.333333,0.697251
-9.000000,7.666667,0.637915
-9.000000,8.000000,0.537523
-9.000000,8.333333,0.308622
-9.000000,8.666667,0.361763
-9.000000,9.000000,2.204439
-9.000000,9.333333,12.571294
-9.000000,9.666667,801.270222
-8.000000,0.000000,0.894549
-8.000000,0.333333,0.888154
-8.000000,0.666667,0.886385
-8.000000,1.000000,0.881496
-8.000000,1.333333,0.876407
-8.000000,1.666667,0.870249
-8.000000,2.000000,0.867393
-8.000000,2.333333,0.861646
-8.000000,2.666667,0.853872
-8.000000,3.000000,0.846763
-8.000000,3.333333,0.837604
-8.000000,3.666667,0.829500
-8.000000,4.000000,0.820042
-8.000000,4.333333,0.807730
-8.000000,4.666667,0.793464
-8.000000,5.000000,0.779756
-8.000000,5.333333,0.759321
-8.000000,5.666667,0.733103
-8.000000,6.000000,0.704412
-8.000000,6.333333,0.668595
-8.000000,6.666667,0.607331
-8.000000,7.000000,0.525048
-8.000000,7.333333,0.370716
-8.000000,7.666667,0.092607
-8.000000,8.000000,0.782467
-8.000000,8.333333,3.398989
-8.000000,8.666667,19.536766
-8.000000,9.000000,16214.556984
-8.000000,9.333333,inf
-8.000000,9.666667,inf
-7.000000,0.000000,0.856442
-7.000000,0.333333,0.850369
-7.000000,0.666667,0.843699
-7.000000,1.000000,0.838754
-7.000000,1.333333,0.832069
-7.000000,1.666667,0.825018
-7.000000,2.000000,0.816520
-7.000000,2.333333,0.808336
-7.000000,2.666667,0.799545
-7.000000,3.000000,0.788748
