X,Y,time
-1.97103,0.33391,9.62679
-1.96582,0.361894,9.64199
-1.9601,0.390106,9.65741
-1.95387,0.418517,9.67304
-1.9471,0.447098,9.68886
-1.9398,0.475825,9.70488
-1.93195,0.504675,9.72108
-1.92353,0.533629,9.73747
-1.91455,0.562668,9.75404
-1.90499,0.591776,9.77078
-1.89484,0.620935,9.78769
-1.88409,0.650134,9.80478
-1.87273,0.679357,9.82203
-1.86075,0.708593,9.83946
-1.84815,0.737831,9.85705
-1.83491,0.76706,9.8748
-1.82103,0.79627,9.89273
-1.8065,0.825452,9.91082
-1.7913,0.854597,9.92908
-1.77544,0.883697,9.9475
-1.75888,0.912744,9.96609
-1.74164,0.941732,9.98486
-1.72721,0.965094,10
